Name,Event,League,Date
Annabelle Beer,Labor Day 2001,Anderson Family Championship,9/3/2001
Cooper Beer,Labor Day 2001,Anderson Family Championship,9/3/2001
Abigail Anderson,Labor Day 2001,Anderson Family Championship,9/3/2001
Lou Crooks,Labor Day 2001,Anderson Family Championship,9/3/2001
Alexie Beer,Labor Day 2001,Anderson Family Championship,9/3/2001
Quincy Crooks,Labor Day 2001,Anderson Family Championship,9/3/2001
Carli Crooks,Halloween 2001,Anderson Family Championship,10/31/2001
Gerry Crooks,Halloween 2001,Anderson Family Championship,10/31/2001
Lenny Anderson,Halloween 2001,Anderson Family Championship,10/31/2001
Garfield Anderson,Halloween 2001,Anderson Family Championship,10/31/2001
Annabelle Beer,Halloween 2001,Anderson Family Championship,10/31/2001
Cooper Beer,Halloween 2001,Anderson Family Championship,10/31/2001
Abigail Anderson,Halloween 2001,Anderson Family Championship,10/31/2001
Alexie Beer,Halloween 2001,Anderson Family Championship,10/31/2001
Quincy Crooks,Halloween 2001,Anderson Family Championship,10/31/2001
Lou Crooks,Halloween 2001,Anderson Family Championship,10/31/2001
Carli Crooks,Thankgiving 2002,Anderson Family Championship,11/30/2002
Gerry Crooks,Thankgiving 2002,Anderson Family Championship,11/30/2002
Lenny Anderson,Thankgiving 2002,Anderson Family Championship,11/30/2002
Garfield Anderson,Thankgiving 2002,Anderson Family Championship,11/30/2002
Annabelle Beer,Thankgiving 2002,Anderson Family Championship,11/30/2002
Quincy Crooks,Thankgiving 2002,Anderson Family Championship,11/30/2002
Cooper Beer,Thankgiving 2002,Anderson Family Championship,11/30/2002
Abigail Anderson,Thankgiving 2002,Anderson Family Championship,11/30/2002
Alexie Beer,Thankgiving 2002,Anderson Family Championship,11/30/2002
Lou Crooks,Thankgiving 2002,Anderson Family Championship,11/30/2002
Carli Crooks,Fourth of July 2002,Anderson Family Championship,7/4/2002
Gerry Crooks,Fourth of July 2002,Anderson Family Championship,7/4/2002
Lenny Anderson,Fourth of July 2002,Anderson Family Championship,7/4/2002
Annabelle Beer,Fourth of July 2002,Anderson Family Championship,7/4/2002
Quincy Crooks,Fourth of July 2002,Anderson Family Championship,7/4/2002
Garfield Anderson,Fourth of July 2002,Anderson Family Championship,7/4/2002
Cooper Beer,Fourth of July 2002,Anderson Family Championship,7/4/2002
Alexie Beer,Fourth of July 2002,Anderson Family Championship,7/4/2002
Abigail Anderson,Fourth of July 2002,Anderson Family Championship,7/4/2002
Lou Crooks,Fourth of July 2002,Anderson Family Championship,7/4/2002
Carli Crooks,New Year's Eve 2002,Anderson Family Championship,12/31/2002
Gerry Crooks,New Year's Eve 2002,Anderson Family Championship,12/31/2002
Lenny Anderson,New Year's Eve 2002,Anderson Family Championship,12/31/2002
Quincy Crooks,New Year's Eve 2002,Anderson Family Championship,12/31/2002
Annabelle Beer,New Year's Eve 2002,Anderson Family Championship,12/31/2002
Abigail Anderson,New Year's Eve 2002,Anderson Family Championship,12/31/2002
Alexie Beer,New Year's Eve 2002,Anderson Family Championship,12/31/2002
Garfield Anderson,New Year's Eve 2002,Anderson Family Championship,12/31/2002
Cooper Beer,New Year's Eve 2002,Anderson Family Championship,12/31/2002
Lou Crooks,New Year's Eve 2002,Anderson Family Championship,12/31/2002
Carli Crooks,Labor Day 2002,Anderson Family Championship,9/3/2002
Gerry Crooks,Labor Day 2002,Anderson Family Championship,9/3/2002
Lenny Anderson,Labor Day 2002,Anderson Family Championship,9/3/2002
Quincy Crooks,Labor Day 2002,Anderson Family Championship,9/3/2002
Annabelle Beer,Labor Day 2002,Anderson Family Championship,9/3/2002
Abigail Anderson,Labor Day 2002,Anderson Family Championship,9/3/2002
Lou Crooks,Labor Day 2002,Anderson Family Championship,9/3/2002
Garfield Anderson,Labor Day 2002,Anderson Family Championship,9/3/2002
Cooper Beer,Labor Day 2002,Anderson Family Championship,9/3/2002
Alexie Beer,Labor Day 2002,Anderson Family Championship,9/3/2002
Carli Crooks,Halloween 2002,Anderson Family Championship,10/31/2002
Gerry Crooks,Halloween 2002,Anderson Family Championship,10/31/2002
Quincy Crooks,Halloween 2002,Anderson Family Championship,10/31/2002
Annabelle Beer,Halloween 2002,Anderson Family Championship,10/31/2002
Lenny Anderson,Halloween 2002,Anderson Family Championship,10/31/2002
Abigail Anderson,Halloween 2002,Anderson Family Championship,10/31/2002
Lou Crooks,Halloween 2002,Anderson Family Championship,10/31/2002
Garfield Anderson,Halloween 2002,Anderson Family Championship,10/31/2002
Cooper Beer,Halloween 2002,Anderson Family Championship,10/31/2002
Alexie Beer,Halloween 2002,Anderson Family Championship,10/31/2002
Carli Crooks,Thankgiving 2003,Anderson Family Championship,11/30/2003
Gerry Crooks,Thankgiving 2003,Anderson Family Championship,11/30/2003
Quincy Crooks,Thankgiving 2003,Anderson Family Championship,11/30/2003
Annabelle Beer,Thankgiving 2003,Anderson Family Championship,11/30/2003
Lenny Anderson,Thankgiving 2003,Anderson Family Championship,11/30/2003
Abigail Anderson,Thankgiving 2003,Anderson Family Championship,11/30/2003
Lou Crooks,Thankgiving 2003,Anderson Family Championship,11/30/2003
Garfield Anderson,Thankgiving 2003,Anderson Family Championship,11/30/2003
Cooper Beer,Thankgiving 2003,Anderson Family Championship,11/30/2003
Alexie Beer,Thankgiving 2003,Anderson Family Championship,11/30/2003
Carli Crooks,Fourth of July 2003,Anderson Family Championship,7/4/2003
Gerry Crooks,Fourth of July 2003,Anderson Family Championship,7/4/2003
Quincy Crooks,Fourth of July 2003,Anderson Family Championship,7/4/2003
Lenny Anderson,Fourth of July 2003,Anderson Family Championship,7/4/2003
Abigail Anderson,Fourth of July 2003,Anderson Family Championship,7/4/2003
Cooper Beer,Fourth of July 2003,Anderson Family Championship,7/4/2003
Lou Crooks,Fourth of July 2003,Anderson Family Championship,7/4/2003
Alexie Beer,Fourth of July 2003,Anderson Family Championship,7/4/2003
Annabelle Beer,Fourth of July 2003,Anderson Family Championship,7/4/2003
Garfield Anderson,Fourth of July 2003,Anderson Family Championship,7/4/2003
Carli Crooks,New Year's Eve 2003,Anderson Family Championship,12/31/2003
Gerry Crooks,New Year's Eve 2003,Anderson Family Championship,12/31/2003
Quincy Crooks,New Year's Eve 2003,Anderson Family Championship,12/31/2003
Lenny Anderson,New Year's Eve 2003,Anderson Family Championship,12/31/2003
Abigail Anderson,New Year's Eve 2003,Anderson Family Championship,12/31/2003
Cooper Beer,New Year's Eve 2003,Anderson Family Championship,12/31/2003
Lou Crooks,New Year's Eve 2003,Anderson Family Championship,12/31/2003
Alexie Beer,New Year's Eve 2003,Anderson Family Championship,12/31/2003
Annabelle Beer,New Year's Eve 2003,Anderson Family Championship,12/31/2003
Garfield Anderson,New Year's Eve 2003,Anderson Family Championship,12/31/2003
Gerry Crooks,Labor Day 2003,Anderson Family Championship,9/3/2003
Quincy Crooks,Labor Day 2003,Anderson Family Championship,9/3/2003
Lenny Anderson,Labor Day 2003,Anderson Family Championship,9/3/2003
Cooper Beer,Labor Day 2003,Anderson Family Championship,9/3/2003
Lou Crooks,Labor Day 2003,Anderson Family Championship,9/3/2003
Alexie Beer,Labor Day 2003,Anderson Family Championship,9/3/2003
Carli Crooks,Labor Day 2003,Anderson Family Championship,9/3/2003
Abigail Anderson,Labor Day 2003,Anderson Family Championship,9/3/2003
Annabelle Beer,Labor Day 2003,Anderson Family Championship,9/3/2003
Garfield Anderson,Labor Day 2003,Anderson Family Championship,9/3/2003
Gerry Crooks,Halloween 2003,Anderson Family Championship,10/31/2003
Quincy Crooks,Halloween 2003,Anderson Family Championship,10/31/2003
Lenny Anderson,Halloween 2003,Anderson Family Championship,10/31/2003
Cooper Beer,Halloween 2003,Anderson Family Championship,10/31/2003
Garfield Anderson,Halloween 2003,Anderson Family Championship,10/31/2003
Lou Crooks,Halloween 2003,Anderson Family Championship,10/31/2003
Alexie Beer,Halloween 2003,Anderson Family Championship,10/31/2003
Carli Crooks,Halloween 2003,Anderson Family Championship,10/31/2003
Abigail Anderson,Halloween 2003,Anderson Family Championship,10/31/2003
Annabelle Beer,Halloween 2003,Anderson Family Championship,10/31/2003
Gerry Crooks,Thankgiving 2004,Anderson Family Championship,11/30/2004
Lenny Anderson,Thankgiving 2004,Anderson Family Championship,11/30/2004
Garfield Anderson,Thankgiving 2004,Anderson Family Championship,11/30/2004
Cooper Beer,Thankgiving 2004,Anderson Family Championship,11/30/2004
Carli Crooks,Thankgiving 2004,Anderson Family Championship,11/30/2004
Lou Crooks,Thankgiving 2004,Anderson Family Championship,11/30/2004
Alexie Beer,Thankgiving 2004,Anderson Family Championship,11/30/2004
Quincy Crooks,Thankgiving 2004,Anderson Family Championship,11/30/2004
Abigail Anderson,Thankgiving 2004,Anderson Family Championship,11/30/2004
Annabelle Beer,Thankgiving 2004,Anderson Family Championship,11/30/2004
Gerry Crooks,Fourth of July 2004,Anderson Family Championship,7/4/2004
Lenny Anderson,Fourth of July 2004,Anderson Family Championship,7/4/2004
Garfield Anderson,Fourth of July 2004,Anderson Family Championship,7/4/2004
Cooper Beer,Fourth of July 2004,Anderson Family Championship,7/4/2004
Carli Crooks,Fourth of July 2004,Anderson Family Championship,7/4/2004
Alexie Beer,Fourth of July 2004,Anderson Family Championship,7/4/2004
Lou Crooks,Fourth of July 2004,Anderson Family Championship,7/4/2004
Quincy Crooks,Fourth of July 2004,Anderson Family Championship,7/4/2004
Abigail Anderson,Fourth of July 2004,Anderson Family Championship,7/4/2004
Annabelle Beer,Fourth of July 2004,Anderson Family Championship,7/4/2004
Lenny Anderson,New Year's Eve 2004,Anderson Family Championship,12/31/2004
Garfield Anderson,New Year's Eve 2004,Anderson Family Championship,12/31/2004
Cooper Beer,New Year's Eve 2004,Anderson Family Championship,12/31/2004
Carli Crooks,New Year's Eve 2004,Anderson Family Championship,12/31/2004
Alexie Beer,New Year's Eve 2004,Anderson Family Championship,12/31/2004
Quincy Crooks,New Year's Eve 2004,Anderson Family Championship,12/31/2004
Gerry Crooks,New Year's Eve 2004,Anderson Family Championship,12/31/2004
Lou Crooks,New Year's Eve 2004,Anderson Family Championship,12/31/2004
Annabelle Beer,New Year's Eve 2004,Anderson Family Championship,12/31/2004
Abigail Anderson,New Year's Eve 2004,Anderson Family Championship,12/31/2004
Garfield Anderson,Labor Day 2004,Anderson Family Championship,9/3/2004
Cooper Beer,Labor Day 2004,Anderson Family Championship,9/3/2004
Carli Crooks,Labor Day 2004,Anderson Family Championship,9/3/2004
Quincy Crooks,Labor Day 2004,Anderson Family Championship,9/3/2004
Gerry Crooks,Labor Day 2004,Anderson Family Championship,9/3/2004
Annabelle Beer,Labor Day 2004,Anderson Family Championship,9/3/2004
Abigail Anderson,Labor Day 2004,Anderson Family Championship,9/3/2004
Alexie Beer,Labor Day 2004,Anderson Family Championship,9/3/2004
Lenny Anderson,Labor Day 2004,Anderson Family Championship,9/3/2004
Lou Crooks,Labor Day 2004,Anderson Family Championship,9/3/2004
Cooper Beer,Halloween 2004,Anderson Family Championship,10/31/2004
Garfield Anderson,Halloween 2004,Anderson Family Championship,10/31/2004
Quincy Crooks,Halloween 2004,Anderson Family Championship,10/31/2004
Annabelle Beer,Halloween 2004,Anderson Family Championship,10/31/2004
Gerry Crooks,Halloween 2004,Anderson Family Championship,10/31/2004
Abigail Anderson,Halloween 2004,Anderson Family Championship,10/31/2004
Alexie Beer,Halloween 2004,Anderson Family Championship,10/31/2004
Lenny Anderson,Halloween 2004,Anderson Family Championship,10/31/2004
Lou Crooks,Halloween 2004,Anderson Family Championship,10/31/2004
Carli Crooks,Halloween 2004,Anderson Family Championship,10/31/2004
Garfield Anderson,Thankgiving 2005,Anderson Family Championship,11/30/2005
Quincy Crooks,Thankgiving 2005,Anderson Family Championship,11/30/2005
Gerry Crooks,Thankgiving 2005,Anderson Family Championship,11/30/2005
Alexie Beer,Thankgiving 2005,Anderson Family Championship,11/30/2005
Cooper Beer,Thankgiving 2005,Anderson Family Championship,11/30/2005
Abigail Anderson,Thankgiving 2005,Anderson Family Championship,11/30/2005
Lou Crooks,Thankgiving 2005,Anderson Family Championship,11/30/2005
Carli Crooks,Thankgiving 2005,Anderson Family Championship,11/30/2005
Annabelle Beer,Thankgiving 2005,Anderson Family Championship,11/30/2005
Lenny Anderson,Thankgiving 2005,Anderson Family Championship,11/30/2005
Garfield Anderson,Fourth of July 2005,Anderson Family Championship,7/4/2005
Quincy Crooks,Fourth of July 2005,Anderson Family Championship,7/4/2005
Gerry Crooks,Fourth of July 2005,Anderson Family Championship,7/4/2005
Alexie Beer,Fourth of July 2005,Anderson Family Championship,7/4/2005
Cooper Beer,Fourth of July 2005,Anderson Family Championship,7/4/2005
Abigail Anderson,Fourth of July 2005,Anderson Family Championship,7/4/2005
Lou Crooks,Fourth of July 2005,Anderson Family Championship,7/4/2005
Carli Crooks,Fourth of July 2005,Anderson Family Championship,7/4/2005
Annabelle Beer,Fourth of July 2005,Anderson Family Championship,7/4/2005
Lenny Anderson,Fourth of July 2005,Anderson Family Championship,7/4/2005
Garfield Anderson,New Year's Eve 2005,Anderson Family Championship,12/31/2005
Gerry Crooks,New Year's Eve 2005,Anderson Family Championship,12/31/2005
Quincy Crooks,New Year's Eve 2005,Anderson Family Championship,12/31/2005
Cooper Beer,New Year's Eve 2005,Anderson Family Championship,12/31/2005
Abigail Anderson,New Year's Eve 2005,Anderson Family Championship,12/31/2005
Alexie Beer,New Year's Eve 2005,Anderson Family Championship,12/31/2005
Lou Crooks,New Year's Eve 2005,Anderson Family Championship,12/31/2005
Carli Crooks,New Year's Eve 2005,Anderson Family Championship,12/31/2005
Annabelle Beer,New Year's Eve 2005,Anderson Family Championship,12/31/2005
Lenny Anderson,New Year's Eve 2005,Anderson Family Championship,12/31/2005
Garfield Anderson,Labor Day 2005,Anderson Family Championship,9/3/2005
Gerry Crooks,Labor Day 2005,Anderson Family Championship,9/3/2005
Quincy Crooks,Labor Day 2005,Anderson Family Championship,9/3/2005
Alexie Beer,Labor Day 2005,Anderson Family Championship,9/3/2005
Cooper Beer,Labor Day 2005,Anderson Family Championship,9/3/2005
Abigail Anderson,Labor Day 2005,Anderson Family Championship,9/3/2005
Lou Crooks,Labor Day 2005,Anderson Family Championship,9/3/2005
Carli Crooks,Labor Day 2005,Anderson Family Championship,9/3/2005
Annabelle Beer,Labor Day 2005,Anderson Family Championship,9/3/2005
Lenny Anderson,Labor Day 2005,Anderson Family Championship,9/3/2005
Garfield Anderson,Halloween 2005,Anderson Family Championship,10/31/2005
Quincy Crooks,Halloween 2005,Anderson Family Championship,10/31/2005
Alexie Beer,Halloween 2005,Anderson Family Championship,10/31/2005
Cooper Beer,Halloween 2005,Anderson Family Championship,10/31/2005
Abigail Anderson,Halloween 2005,Anderson Family Championship,10/31/2005
Lou Crooks,Halloween 2005,Anderson Family Championship,10/31/2005
Carli Crooks,Halloween 2005,Anderson Family Championship,10/31/2005
Annabelle Beer,Halloween 2005,Anderson Family Championship,10/31/2005
Lenny Anderson,Halloween 2005,Anderson Family Championship,10/31/2005
Gerry Crooks,Halloween 2005,Anderson Family Championship,10/31/2005
Annabelle Beer,Thankgiving 2006,Anderson Family Championship,11/30/2006
Alexie Beer,Thankgiving 2006,Anderson Family Championship,11/30/2006
Garfield Anderson,Thankgiving 2006,Anderson Family Championship,11/30/2006
Abigail Anderson,Thankgiving 2006,Anderson Family Championship,11/30/2006
Cooper Beer,Thankgiving 2006,Anderson Family Championship,11/30/2006
Lou Crooks,Thankgiving 2006,Anderson Family Championship,11/30/2006
Carli Crooks,Thankgiving 2006,Anderson Family Championship,11/30/2006
Lenny Anderson,Thankgiving 2006,Anderson Family Championship,11/30/2006
Gerry Crooks,Thankgiving 2006,Anderson Family Championship,11/30/2006
Quincy Crooks,Thankgiving 2006,Anderson Family Championship,11/30/2006
Garfield Anderson,Fourth of July 2006,Anderson Family Championship,7/4/2006
Alexie Beer,Fourth of July 2006,Anderson Family Championship,7/4/2006
Abigail Anderson,Fourth of July 2006,Anderson Family Championship,7/4/2006
Cooper Beer,Fourth of July 2006,Anderson Family Championship,7/4/2006
Lou Crooks,Fourth of July 2006,Anderson Family Championship,7/4/2006
Carli Crooks,Fourth of July 2006,Anderson Family Championship,7/4/2006
Lenny Anderson,Fourth of July 2006,Anderson Family Championship,7/4/2006
Gerry Crooks,Fourth of July 2006,Anderson Family Championship,7/4/2006
Quincy Crooks,Fourth of July 2006,Anderson Family Championship,7/4/2006
Annabelle Beer,Fourth of July 2006,Anderson Family Championship,7/4/2006
Garfield Anderson,New Year's Eve 2006,Anderson Family Championship,12/31/2006
Alexie Beer,New Year's Eve 2006,Anderson Family Championship,12/31/2006
Abigail Anderson,New Year's Eve 2006,Anderson Family Championship,12/31/2006
Cooper Beer,New Year's Eve 2006,Anderson Family Championship,12/31/2006
Lou Crooks,New Year's Eve 2006,Anderson Family Championship,12/31/2006
Carli Crooks,New Year's Eve 2006,Anderson Family Championship,12/31/2006
Lenny Anderson,New Year's Eve 2006,Anderson Family Championship,12/31/2006
Gerry Crooks,New Year's Eve 2006,Anderson Family Championship,12/31/2006
Quincy Crooks,New Year's Eve 2006,Anderson Family Championship,12/31/2006
Annabelle Beer,New Year's Eve 2006,Anderson Family Championship,12/31/2006
Cooper Beer,Labor Day 2006,Anderson Family Championship,9/3/2006
Abigail Anderson,Labor Day 2006,Anderson Family Championship,9/3/2006
Garfield Anderson,Labor Day 2006,Anderson Family Championship,9/3/2006
Alexie Beer,Labor Day 2006,Anderson Family Championship,9/3/2006
Lou Crooks,Labor Day 2006,Anderson Family Championship,9/3/2006
Carli Crooks,Labor Day 2006,Anderson Family Championship,9/3/2006
Gerry Crooks,Labor Day 2006,Anderson Family Championship,9/3/2006
Quincy Crooks,Labor Day 2006,Anderson Family Championship,9/3/2006
Annabelle Beer,Labor Day 2006,Anderson Family Championship,9/3/2006
Lenny Anderson,Labor Day 2006,Anderson Family Championship,9/3/2006
Cooper Beer,Halloween 2006,Anderson Family Championship,10/31/2006
Abigail Anderson,Halloween 2006,Anderson Family Championship,10/31/2006
Garfield Anderson,Halloween 2006,Anderson Family Championship,10/31/2006
Alexie Beer,Halloween 2006,Anderson Family Championship,10/31/2006
Lou Crooks,Halloween 2006,Anderson Family Championship,10/31/2006
Carli Crooks,Halloween 2006,Anderson Family Championship,10/31/2006
Gerry Crooks,Halloween 2006,Anderson Family Championship,10/31/2006
Quincy Crooks,Halloween 2006,Anderson Family Championship,10/31/2006
Annabelle Beer,Halloween 2006,Anderson Family Championship,10/31/2006
Lenny Anderson,Halloween 2006,Anderson Family Championship,10/31/2006
Cooper Beer,Thankgiving 2007,Anderson Family Championship,11/30/2007
Annabelle Beer,Thankgiving 2007,Anderson Family Championship,11/30/2007
Abigail Anderson,Thankgiving 2007,Anderson Family Championship,11/30/2007
Garfield Anderson,Thankgiving 2007,Anderson Family Championship,11/30/2007
Alexie Beer,Thankgiving 2007,Anderson Family Championship,11/30/2007
Lou Crooks,Thankgiving 2007,Anderson Family Championship,11/30/2007
Carli Crooks,Thankgiving 2007,Anderson Family Championship,11/30/2007
Gerry Crooks,Thankgiving 2007,Anderson Family Championship,11/30/2007
Quincy Crooks,Thankgiving 2007,Anderson Family Championship,11/30/2007
Lenny Anderson,Thankgiving 2007,Anderson Family Championship,11/30/2007
Cooper Beer,Fourth of July 2007,Anderson Family Championship,7/4/2007
Annabelle Beer,Fourth of July 2007,Anderson Family Championship,7/4/2007
Abigail Anderson,Fourth of July 2007,Anderson Family Championship,7/4/2007
Garfield Anderson,Fourth of July 2007,Anderson Family Championship,7/4/2007
Lou Crooks,Fourth of July 2007,Anderson Family Championship,7/4/2007
Carli Crooks,Fourth of July 2007,Anderson Family Championship,7/4/2007
Gerry Crooks,Fourth of July 2007,Anderson Family Championship,7/4/2007
Quincy Crooks,Fourth of July 2007,Anderson Family Championship,7/4/2007
Lenny Anderson,Fourth of July 2007,Anderson Family Championship,7/4/2007
Alexie Beer,Fourth of July 2007,Anderson Family Championship,7/4/2007
Annabelle Beer,New Year's Eve 2007,Anderson Family Championship,12/31/2007
Abigail Anderson,New Year's Eve 2007,Anderson Family Championship,12/31/2007
Garfield Anderson,New Year's Eve 2007,Anderson Family Championship,12/31/2007
Cooper Beer,New Year's Eve 2007,Anderson Family Championship,12/31/2007
Lenny Anderson,New Year's Eve 2007,Anderson Family Championship,12/31/2007
Lou Crooks,New Year's Eve 2007,Anderson Family Championship,12/31/2007
Carli Crooks,New Year's Eve 2007,Anderson Family Championship,12/31/2007
Gerry Crooks,New Year's Eve 2007,Anderson Family Championship,12/31/2007
Quincy Crooks,New Year's Eve 2007,Anderson Family Championship,12/31/2007
Alexie Beer,New Year's Eve 2007,Anderson Family Championship,12/31/2007
Annabelle Beer,Labor Day 2007,Anderson Family Championship,9/3/2007
Garfield Anderson,Labor Day 2007,Anderson Family Championship,9/3/2007
Lenny Anderson,Labor Day 2007,Anderson Family Championship,9/3/2007
Abigail Anderson,Labor Day 2007,Anderson Family Championship,9/3/2007
Cooper Beer,Labor Day 2007,Anderson Family Championship,9/3/2007
Lou Crooks,Labor Day 2007,Anderson Family Championship,9/3/2007
Carli Crooks,Labor Day 2007,Anderson Family Championship,9/3/2007
Gerry Crooks,Labor Day 2007,Anderson Family Championship,9/3/2007
Quincy Crooks,Labor Day 2007,Anderson Family Championship,9/3/2007
Alexie Beer,Labor Day 2007,Anderson Family Championship,9/3/2007
Annabelle Beer,Halloween 2007,Anderson Family Championship,10/31/2007
Garfield Anderson,Halloween 2007,Anderson Family Championship,10/31/2007
Lenny Anderson,Halloween 2007,Anderson Family Championship,10/31/2007
Abigail Anderson,Halloween 2007,Anderson Family Championship,10/31/2007
Cooper Beer,Halloween 2007,Anderson Family Championship,10/31/2007
Lou Crooks,Halloween 2007,Anderson Family Championship,10/31/2007
